Accessions	Gene	Description	GeneSymbol	Unique_peptides	MCF7.SiCTRL.EtOH.Rep.1	MCF7.SiCTRL.EtOH.Rep.2	MCF7.SiCTRL.E2.Rep.1	MCF7.SiCTRL.E2.Rep.2	MCF7.SiCTRL.E2.Rep.3	MCF7.SiCTRL.E2.Rep.4	MCF7.SiCTRL.EtOH.Rep.3	MCF7.SiCTRL.EtOH.Rep.4	log2FC	AvgIntensity	t	P.Value	adj.P.Val	B
O15353	FOXN1_HUMAN	Forkhead box protein N1 OS=Homo sapiens OX=9606 GN=FOXN1 PE=1 SV=1	FOXN1	1	6.61	6.37	7.54	6.67	6.61	7.19	6.66	7.78	0.15	6.987884728	0.51	0.62	0.84	-6.69
Q9H1B7	I2BPL_HUMAN	Interferon regulatory factor 2-binding protein-like OS=Homo sapiens OX=9606 GN=IRF2BPL PE=1 SV=1	IRF2BPL	11	10.77	11.13	10.92	10.98	11.23	10.65	11.14	11.05	-0.08	11.00357801	-0.51	0.62	0.84	-6.69
P61158	ARP3_HUMAN	Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=3	ACTR3	3	7.39	7.34	7.21	7.09	7.68	7.93	7.74	7.7	-0.07	7.426577674	-0.51	0.62	0.84	-6.69
Q09161	NCBP1_HUMAN	Nuclear cap-binding protein subunit 1 OS=Homo sapiens OX=9606 GN=NCBP1 PE=1 SV=1	NCBP1	1	4.75	5.17	4.37	5.07	4.79	4.66	4.8	4.51	-0.09	4.890522051	-0.51	0.62	0.84	-6.69
Q14137	BOP1_HUMAN	Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2	BOP1	6	7.99	7.81	8.33	7.68	9.34	9.67	9.42	10.27	-0.12	8.798359747	-0.51	0.62	0.84	-6.69
Q9Y490	TLN1_HUMAN	Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3	TLN1	3	6.75	6.83	6.78	6.88	7.17	7.39	7.36	7.47	-0.05	7.069931384	-0.51	0.62	0.84	-6.69
P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2	ALDOA	10	10.46	10.79	10.59	10.65	10.44	10.76	10.52	10.87	-0.05	10.61669643	-0.51	0.62	0.84	-6.69
Q14978	NOLC1_HUMAN	Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2	NOLC1	9	9.14	8.88	10.14	9.09	10.67	10.85	10.58	11.54	0.15	10.16385162	0.51	0.62	0.84	-6.69
P46939	UTRO_HUMAN	Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2	UTRN	1	3.56	3.6	3.3	3.29	4.12	4.35	4.18	4.1	-0.09	3.882672887	-0.51	0.62	0.84	-6.69
P08651	NFIC_HUMAN	Nuclear factor 1 C-type OS=Homo sapiens OX=9606 GN=NFIC PE=1 SV=2	NFIC	1	5.16	4.8	4.86	4.86	2.1	1.73	2.23	1.92	-0.14	3.453871031	-0.5	0.62	0.84	-6.69
Q641Q2	WAC2A_HUMAN	WASH complex subunit 2A OS=Homo sapiens OX=9606 GN=WASHC2A PE=1 SV=3	WASHC2A	4	6.62	6.81	7.59	6.49	8.3	8.19	7.69	8.76	0.17	7.561018844	0.5	0.62	0.84	-6.69
Q7Z794	K2C1B_HUMAN	"Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=1 SV=3"	KRT77	1	8.44	8.08	8.06	7.6	5.93	5.5	5.85	5.32	-0.15	6.611827333	-0.5	0.62	0.84	-6.69
Q9NZT1	CALL5_HUMAN	Calmodulin-like protein 5 OS=Homo sapiens OX=9606 GN=CALML5 PE=1 SV=2	CALML5	1	4.8	4.64	4.95	4.42	4.38	4.46	4.39	4.02	0.09	4.457850242	0.5	0.62	0.84	-6.69
Q14573	ITPR3_HUMAN	"Inositol 1,4,5-trisphosphate receptor type 3 OS=Homo sapiens OX=9606 GN=ITPR3 PE=1 SV=2"	ITPR3	1	4.11	3.3	3.66	3.75	3.04	3.72	3.45	3.76	-0.11	3.616023286	-0.5	0.63	0.84	-6.7
Q96C57	CL043_HUMAN	Uncharacterized protein C12orf43 OS=Homo sapiens OX=9606 GN=C12orf43 PE=1 SV=2	C12orf43	1	5.23	5.48	5.56	5.42	5.6	6.03	5.62	6.7	-0.11	5.660849558	-0.5	0.63	0.84	-6.7
P37108	SRP14_HUMAN	Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2	SRP14	1	7.45	7.92	7.56	8.33	8.02	8.15	7.92	8.45	0.08	8.005302065	0.5	0.63	0.84	-6.7
O43390	HNRPR_HUMAN	Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1	HNRNPR	10	10.82	10.81	10.37	10.83	10.09	10.25	10.25	9.95	-0.07	10.43229328	-0.5	0.63	0.84	-6.7
O75817	POP7_HUMAN	Ribonuclease P protein subunit p20 OS=Homo sapiens OX=9606 GN=POP7 PE=1 SV=2	POP7	1	4.65	4.59	4.86	4.24	5.44	5.87	5.39	6.17	-0.1	5.1590731	-0.5	0.63	0.84	-6.7
P07384	CAN1_HUMAN	Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1	CAPN1	5	8.85	8.77	9.08	8.6	8.29	8.46	8.43	8.6	-0.06	8.592940961	-0.49	0.63	0.85	-6.7
O75151	PHF2_HUMAN	Lysine-specific demethylase PHF2 OS=Homo sapiens OX=9606 GN=PHF2 PE=1 SV=4	PHF2	1	4.75	4.03	4.92	4.58	4.93	5.3	4.74	5.7	0.13	4.819003177	0.49	0.63	0.85	-6.7
Q6KB66	K2C80_HUMAN	"Keratin, type II cytoskeletal 80 OS=Homo sapiens OX=9606 GN=KRT80 PE=1 SV=2"	KRT80	14	10.37	9.72	10.91	9.76	10.85	11.31	10.84	11.4	0.13	10.7047993	0.49	0.63	0.85	-6.7
Q15269	PWP2_HUMAN	Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=2 SV=2	PWP2	6	7.53	7.42	8	7.7	8.26	8.55	8.16	9.03	0.09	8.083248551	0.49	0.63	0.85	-6.7
Q9Y2A7	NCKP1_HUMAN	Nck-associated protein 1 OS=Homo sapiens OX=9606 GN=NCKAP1 PE=1 SV=1	NCKAP1	1	5.64	5.74	5.52	5.67	5.87	6.03	6	5.94	-0.06	5.740475925	-0.48	0.63	0.85	-6.7
O43818	U3IP2_HUMAN	U3 small nucleolar RNA-interacting protein 2 OS=Homo sapiens OX=9606 GN=RRP9 PE=1 SV=1	RRP9	1	4.84	4.61	5.57	4.95	7.08	7.47	7.07	8.03	0.13	6.237064821	0.48	0.64	0.85	-6.7
Q06323	PSME1_HUMAN	Proteasome activator complex subunit 1 OS=Homo sapiens OX=9606 GN=PSME1 PE=1 SV=1	PSME1	1	6.85	7.36	6.82	7.07	5.73	5.96	5.71	5.88	-0.06	6.368581793	-0.48	0.64	0.85	-6.7
Q8IY67	RAVR1_HUMAN	Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1 PE=1 SV=1	RAVER1	3	8.58	8.71	8.36	8.9	7.8	7.57	7.77	7.26	0.08	8.046193936	0.48	0.64	0.85	-6.7
Q9NZM5	NOP53_HUMAN	Ribosome biogenesis protein NOP53 OS=Homo sapiens OX=9606 GN=NOP53 PE=1 SV=2	NOP53	1	4.56	4.04	4.49	4.12	4.68	5.39	4.8	5.78	-0.12	4.746489626	-0.48	0.64	0.85	-6.7
O95817	BAG3_HUMAN	BAG family molecular chaperone regulator 3 OS=Homo sapiens OX=9606 GN=BAG3 PE=1 SV=3	BAG3	4	8.19	8.14	8.42	8.22	8.87	8.81	8.75	9.02	0.06	8.555575687	0.48	0.64	0.85	-6.7
P53621	COPA_HUMAN	Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2	COPA	8	9.64	9.79	9.69	9.85	9.71	10.03	9.81	9.82	0.06	9.774697263	0.48	0.64	0.85	-6.7
Q14690	RRP5_HUMAN	Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3	PDCD11	12	9.3	9.11	10.02	9.41	10.7	10.97	10.62	11.6	0.12	10.23046476	0.48	0.64	0.85	-6.7
Q9H8H0	NOL11_HUMAN	Nucleolar protein 11 OS=Homo sapiens OX=9606 GN=NOL11 PE=1 SV=1	NOL11	2	6.88	6.8	7.68	6.98	7.71	8.15	7.63	8.7	0.13	7.582454206	0.48	0.64	0.85	-6.71
Q15029	U5S1_HUMAN	116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1	EFTUD2	14	9.49	9.44	9.29	9.48	9.06	9.25	9.18	9.18	-0.05	9.331291624	-0.48	0.64	0.85	-6.71
Q12931	TRAP1_HUMAN	"Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens OX=9606 GN=TRAP1 PE=1 SV=3"	TRAP1	1	4.08	4.47	4.42	3.95	4.66	4.75	4.94	4.62	-0.08	4.466267703	-0.47	0.64	0.85	-6.71
Q8N6T7	SIR6_HUMAN	NAD-dependent protein deacetylase sirtuin-6 OS=Homo sapiens OX=9606 GN=SIRT6 PE=1 SV=2	SIRT6	1	2.88	2.92	2.76	2.28	2.84	2.7	2.47	1.78	0.13	2.525752972	0.47	0.64	0.85	-6.71
O95777	LSM8_HUMAN	U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens OX=9606 GN=LSM8 PE=1 SV=3	LSM8	2	5.61	5.71	5.1	5.7	5.31	5.24	5.32	4.99	-0.07	5.406538965	-0.47	0.64	0.85	-6.71
P06733	ENOA_HUMAN	Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	ENO1	12	11.51	11.57	11.81	11.58	11.26	11.51	11.27	11.6	0.05	11.49067628	0.47	0.65	0.86	-6.71
Q9NUK0	MBNL3_HUMAN	Muscleblind-like protein 3 OS=Homo sapiens OX=9606 GN=MBNL3 PE=1 SV=2	MBNL3	1	9.11	7.48	8.04	8.63	8.36	8.09	8.89	8.14	-0.13	8.392417992	-0.47	0.65	0.86	-6.71
Q15370	ELOB_HUMAN	Elongin-B OS=Homo sapiens OX=9606 GN=ELOB PE=1 SV=1	ELOB	1	6.91	7.51	7.26	7.4	6.27	6.54	6.28	6.59	0.05	6.862247091	0.47	0.65	0.86	-6.71
Q96BM9	ARL8A_HUMAN	ADP-ribosylation factor-like protein 8A OS=Homo sapiens OX=9606 GN=ARL8A PE=1 SV=1	ARL8A	1	5.49	6.1	5.88	5.89	6.04	6.08	6.02	6.05	0.06	5.958768037	0.46	0.65	0.86	-6.71
P05556	ITB1_HUMAN	Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2	ITGB1	1	4.39	4.12	4.61	4.24	5	5.31	5.44	5.47	-0.06	4.821845144	-0.46	0.65	0.86	-6.71
P09110	THIK_HUMAN	"3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens OX=9606 GN=ACAA1 PE=1 SV=2"	ACAA1	1	3.85	3.47	3.87	3.06	4.61	4.08	4.52	4.17	-0.1	3.839775927	-0.46	0.65	0.86	-6.71
O43781	DYRK3_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 3 OS=Homo sapiens OX=9606 GN=DYRK3 PE=1 SV=3	DYRK3	1	7.22	6.38	8.3	6.48	6.85	7.59	7.08	7.84	0.17	7.140908356	0.46	0.65	0.86	-6.71
Q6P1N0	C2D1A_HUMAN	Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens OX=9606 GN=CC2D1A PE=1 SV=1	CC2D1A	2	5.63	4.62	5.3	4.91	5.19	5.19	5.35	5.28	-0.07	5.132842577	-0.46	0.65	0.86	-6.71
Q9BZE4	NOG1_HUMAN	Nucleolar GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=GTPBP4 PE=1 SV=3	GTPBP4	11	9.97	9.87	10.61	10.13	10.72	11.08	10.63	11.65	0.11	10.5950006	0.46	0.65	0.86	-6.71
P05787	K2C8_HUMAN	"Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7"	KRT8	50	16.25	15.87	16.71	15.99	16.08	16.5	16.24	16.54	0.09	16.26921716	0.46	0.65	0.86	-6.71
P67809	YBOX1_HUMAN	Nuclease-sensitive element-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3	YBX1	4	9.27	9.31	9.05	9.36	8.72	8.78	8.61	9.02	-0.07	9.060080096	-0.46	0.65	0.86	-6.72
Q96TA1	NIBL1_HUMAN	Niban-like protein 1 OS=Homo sapiens OX=9606 GN=FAM129B PE=1 SV=3	FAM129B	1	3.68	3.77	4.38	3.72	3.92	4.63	4.12	4.66	0.11	4.110153873	0.46	0.65	0.86	-6.72
P43490	NAMPT_HUMAN	Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1	NAMPT	4	8.47	8.95	8.56	8.77	7.93	8.07	7.9	8.21	-0.05	8.355960782	-0.46	0.65	0.86	-6.72
P09651	ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5	HNRNPA1	2	9.65	9.82	9.22	9.94	8.39	8.57	8.59	8.35	-0.07	9.081462627	-0.46	0.66	0.86	-6.72
P42285	MTREX_HUMAN	Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3	MTREX	4	6.68	7.03	6.81	7.09	8.27	8.58	8.24	9	-0.05	7.674694224	-0.45	0.66	0.86	-6.72
Q15102	PA1B3_HUMAN	Platelet-activating factor acetylhydrolase IB subunit gamma OS=Homo sapiens OX=9606 GN=PAFAH1B3 PE=1 SV=1	PAFAH1B3	1	6.57	6.58	6.86	6.49	4.07	3.97	4.48	4.11	-0.09	5.478771169	-0.45	0.66	0.86	-6.72
Q13148	TADBP_HUMAN	TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1	TARDBP	7	10.45	10.46	10	10.55	10.2	10.12	10.28	9.94	-0.06	10.26863357	-0.45	0.66	0.86	-6.72
P83731	RL24_HUMAN	60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1	RPL24	4	10.26	10.45	9.96	10.35	9.93	10.44	10.24	10.06	-0.08	10.21410521	-0.45	0.66	0.86	-6.72
P06744	G6PI_HUMAN	Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4	GPI	2	6.64	6.57	6.91	6.66	6.07	6.1	6.39	6.36	-0.05	6.408079797	-0.45	0.66	0.86	-6.72
Q71UM5	RS27L_HUMAN	40S ribosomal protein S27-like OS=Homo sapiens OX=9606 GN=RPS27L PE=1 SV=3	RPS27L	1	7.4	7.36	6.71	7.57	6.77	6.77	6.78	6.58	-0.07	7.079596534	-0.45	0.66	0.86	-6.72
Q8NI36	WDR36_HUMAN	WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1	WDR36	2	6.93	6.63	7.15	6.51	7.71	7.79	7.52	8.48	-0.1	7.261954888	-0.45	0.66	0.86	-6.72
Q9BXY0	MAK16_HUMAN	Protein MAK16 homolog OS=Homo sapiens OX=9606 GN=MAK16 PE=1 SV=2	MAK16	3	6.68	6.7	7.65	6.92	8.05	8.37	8.03	9.06	0.13	7.686824975	0.45	0.66	0.86	-6.72
Q8TAT6	NPL4_HUMAN	Nuclear protein localization protein 4 homolog OS=Homo sapiens OX=9606 GN=NPLOC4 PE=1 SV=3	NPLOC4	1	5.54	6.14	4.88	6.11	5.42	4.85	5.31	4.78	-0.13	5.363907768	-0.45	0.66	0.86	-6.72
O14579	COPE_HUMAN	Coatomer subunit epsilon OS=Homo sapiens OX=9606 GN=COPE PE=1 SV=3	COPE	1	3.11	2.63	2.76	3.24	2.68	2.63	2.44	2.82	0.08	2.833682206	0.45	0.66	0.86	-6.72
P51148	RAB5C_HUMAN	Ras-related protein Rab-5C OS=Homo sapiens OX=9606 GN=RAB5C PE=1 SV=2	RAB5C	2	5.05	4.93	5.03	4.95	4.94	5.36	5.25	5.27	-0.05	5.113539218	-0.45	0.66	0.86	-6.72
Q9Y4C8	RBM19_HUMAN	Probable RNA-binding protein 19 OS=Homo sapiens OX=9606 GN=RBM19 PE=1 SV=3	RBM19	2	5.62	5.33	5.9	5.08	6.34	6.72	6.26	7.3	-0.11	6.04716202	-0.45	0.66	0.86	-6.72
Q9P013	CWC15_HUMAN	Spliceosome-associated protein CWC15 homolog OS=Homo sapiens OX=9606 GN=CWC15 PE=1 SV=2	CWC15	1	4.4	4.44	4.45	4.31	6.07	6.07	6.11	6.2	-0.06	5.170317269	-0.45	0.66	0.86	-6.72
O15160	RPAC1_HUMAN	DNA-directed RNA polymerases I and III subunit RPAC1 OS=Homo sapiens OX=9606 GN=POLR1C PE=1 SV=1	POLR1C	2	5.5	5.69	5.68	5.65	6.38	6.4	6.43	6.72	-0.05	6.049063465	-0.44	0.66	0.86	-6.72
Q86U38	NOP9_HUMAN	Nucleolar protein 9 OS=Homo sapiens OX=9606 GN=NOP9 PE=1 SV=1	NOP9	1	5.19	5.29	5.64	5.12	5.89	6.3	5.97	6.87	-0.09	5.766621975	-0.44	0.66	0.86	-6.72
Q96T88	UHRF1_HUMAN	E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens OX=9606 GN=UHRF1 PE=1 SV=1	UHRF1	3	6.53	6.79	6.24	6.88	6.21	6.15	6.32	6.07	-0.06	6.38937809	-0.44	0.67	0.86	-6.72
P54136	SYRC_HUMAN	"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=RARS PE=1 SV=2"	RARS	5	8.19	8.45	8.01	8.6	8.7	8.93	8.92	8.95	-0.07	8.574032991	-0.44	0.67	0.87	-6.73
P46087	NOP2_HUMAN	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2	NOP2	10	9.69	9.46	10.46	9.78	10.53	10.87	10.52	11.51	0.11	10.35722417	0.43	0.67	0.87	-6.73
Q9P2E9	RRBP1_HUMAN	Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5	RRBP1	7	8.56	8.43	8.4	8.46	9.03	9.56	9.24	9.46	-0.06	8.911417006	-0.43	0.67	0.87	-6.73
Q1KMD3	HNRL2_HUMAN	Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1	HNRNPUL2	9	10.35	10.43	10	10.43	9.79	9.98	9.96	9.69	-0.06	10.08183763	-0.43	0.67	0.87	-6.73
P31942	HNRH3_HUMAN	Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2	HNRNPH3	6	11.73	11.67	11.43	11.68	10.64	10.85	10.84	10.58	-0.06	11.15235214	-0.43	0.67	0.87	-6.73
Q15233	NONO_HUMAN	Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4	NONO	20	12.81	13	12.58	13.06	12.48	12.59	12.5	12.6	-0.05	12.69473476	-0.43	0.68	0.87	-6.73
Q6P1M3	L2GL2_HUMAN	Lethal(2) giant larvae protein homolog 2 OS=Homo sapiens OX=9606 GN=LLGL2 PE=1 SV=2	LLGL2	3	7.43	7.51	7.27	7.52	8.14	8.2	8.31	8.07	-0.05	7.789806159	-0.43	0.68	0.87	-6.73
O75165	DJC13_HUMAN	DnaJ homolog subfamily C member 13 OS=Homo sapiens OX=9606 GN=DNAJC13 PE=1 SV=5	DNAJC13	1	2.58	3.4	3	2.67	2.13	2.9	2.67	2.47	-0.11	2.708840846	-0.43	0.68	0.87	-6.73
Q9Y2V2	CHSP1_HUMAN	Calcium-regulated heat-stable protein 1 OS=Homo sapiens OX=9606 GN=CARHSP1 PE=1 SV=2	CARHSP1	1	6.07	7	5.73	6.97	6.95	7.13	6.75	7.29	-0.08	6.755933079	-0.43	0.68	0.87	-6.73
P19338	NUCL_HUMAN	Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3	NCL	35	12.42	12.31	13.18	12.57	13.17	13.44	13.08	14.12	0.11	13.07049275	0.43	0.68	0.87	-6.73
Q96HY6	DDRGK_HUMAN	DDRGK domain-containing protein 1 OS=Homo sapiens OX=9606 GN=DDRGK1 PE=1 SV=2	DDRGK1	2	5.14	4.73	4.74	4.82	5.59	5.93	5.75	5.71	-0.06	5.315558469	-0.42	0.68	0.87	-6.73
O75531	BAF_HUMAN	Barrier-to-autointegration factor OS=Homo sapiens OX=9606 GN=BANF1 PE=1 SV=1	BANF1	2	6.53	7.62	6.83	7.72	6.01	6.2	6.21	6.08	0.08	6.703181376	0.42	0.68	0.87	-6.73
Q9BYG3	MK67I_HUMAN	MKI67 FHA domain-interacting nucleolar phosphoprotein OS=Homo sapiens OX=9606 GN=NIFK PE=1 SV=1	NIFK	3	7	7.1	7.8	7.14	9.18	9.53	9.06	10.1	0.1	8.357813551	0.42	0.68	0.87	-6.73
Q9BRX2	PELO_HUMAN	Protein pelota homolog OS=Homo sapiens OX=9606 GN=PELO PE=1 SV=2	PELO	1	2.3	3.09	2.85	3.09	3.35	3.36	3.39	3.48	0.1	3.160855178	0.42	0.68	0.87	-6.73
P31943	HNRH1_HUMAN	Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4	HNRNPH1	5	10.7	10.68	10.24	10.79	10.39	10.35	10.47	10.15	-0.06	10.48135838	-0.42	0.68	0.87	-6.73
P62906	RL10A_HUMAN	60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2	RPL10A	5	10.62	10.7	10.39	10.94	10.17	10.6	10.34	10.68	-0.06	10.5686603	-0.42	0.68	0.87	-6.73
P63104	1433Z_HUMAN	14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1	YWHAZ	10	10.97	11.14	10.98	11.26	10.61	10.62	10.6	10.59	0.04	10.84907035	0.42	0.68	0.87	-6.73
Q13492	PICAL_HUMAN	Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens OX=9606 GN=PICALM PE=1 SV=2	PICALM	1	5.7	5.23	5.95	5.18	5.92	6.2	5.9	6.14	0.07	5.690833085	0.42	0.68	0.87	-6.73
O94973	AP2A2_HUMAN	AP-2 complex subunit alpha-2 OS=Homo sapiens OX=9606 GN=AP2A2 PE=1 SV=2	AP2A2	1	5.8	5.48	5.53	5.53	6.31	6.15	6.19	6.22	-0.04	5.930135108	-0.42	0.68	0.87	-6.73
O00515	LAD1_HUMAN	Ladinin-1 OS=Homo sapiens OX=9606 GN=LAD1 PE=1 SV=2	LAD1	5	7.51	7.27	7.56	6.97	8.03	8.44	8.15	8.34	-0.07	7.778893887	-0.41	0.68	0.87	-6.74
P46063	RECQ1_HUMAN	ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3	RECQL	1	6.01	6.62	5.76	6.43	6.28	5.97	6.14	5.95	-0.07	6.156250831	-0.41	0.69	0.87	-6.74
P04406	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3	GAPDH	13	11.84	12.09	11.88	12.06	11.87	12.11	11.99	12.18	-0.05	11.95697814	-0.41	0.69	0.87	-6.74
Q8IYB3	SRRM1_HUMAN	Serine/arginine repetitive matrix protein 1 OS=Homo sapiens OX=9606 GN=SRRM1 PE=1 SV=2	SRRM1	2	7.09	7.54	6.67	7.58	6.45	6.41	6.4	6.36	-0.07	6.908618128	-0.41	0.69	0.87	-6.74
P05141	ADT2_HUMAN	ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7	SLC25A5	1	8.78	8.22	8.76	8.05	7.56	7.15	7.6	7.1	-0.04	7.819244708	-0.41	0.69	0.87	-6.74
Q99584	S10AD_HUMAN	Protein S100-A13 OS=Homo sapiens OX=9606 GN=S100A13 PE=1 SV=1	S100A13	1	6.09	6.72	6.29	6.63	6.49	6.5	6.28	6.61	0.05	6.489517174	0.41	0.69	0.87	-6.74
O00214	LEG8_HUMAN	Galectin-8 OS=Homo sapiens OX=9606 GN=LGALS8 PE=1 SV=4	LGALS8	1	7.11	7.15	7.21	6.82	7	6.88	7.21	6.65	-0.05	6.923008044	-0.41	0.69	0.87	-6.74
Q9H501	ESF1_HUMAN	ESF1 homolog OS=Homo sapiens OX=9606 GN=ESF1 PE=1 SV=1	ESF1	1	6.1	6.21	6.44	6.11	6.34	6.59	6.31	7.19	-0.08	6.397757813	-0.41	0.69	0.87	-6.74
Q9NR30	DDX21_HUMAN	Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5	DDX21	11	9.89	9.61	10.65	9.86	10.91	11.28	10.82	11.92	0.12	10.63322957	0.41	0.69	0.87	-6.74
Q99729	ROAA_HUMAN	Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2	HNRNPAB	8	10.78	11.03	10.35	11.05	10.2	10.31	10.3	10.05	-0.07	10.52321621	-0.41	0.69	0.87	-6.74
Q9NQ55	SSF1_HUMAN	Suppressor of SWI4 1 homolog OS=Homo sapiens OX=9606 GN=PPAN PE=2 SV=1	PPAN	3	7.75	7.51	8.39	7.78	8.32	8.67	8.3	9.21	0.1	8.244904798	0.41	0.69	0.87	-6.74
Q15061	WDR43_HUMAN	WD repeat-containing protein 43 OS=Homo sapiens OX=9606 GN=WDR43 PE=1 SV=3	WDR43	3	8	7.89	8.3	7.75	7.96	8.26	7.88	8.84	-0.09	8.15097534	-0.4	0.69	0.88	-6.74
P37802	TAGL2_HUMAN	Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3	TAGLN2	9	10.17	10.03	10.31	9.76	9.94	10.36	10	10.42	-0.06	10.06553575	-0.4	0.7	0.88	-6.74
P06396	GELS_HUMAN	Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1	GSN	12	10.12	10.02	10.09	9.92	10.08	9.98	10.13	9.95	-0.04	10.03776843	-0.4	0.7	0.88	-6.74
P15927	RFA2_HUMAN	Replication protein A 32 kDa subunit OS=Homo sapiens OX=9606 GN=RPA2 PE=1 SV=1	RPA2	1	5.01	5.44	4.85	5.51	4.63	4.39	4.2	4.45	0.07	4.764466066	0.4	0.7	0.88	-6.74
O14776	TCRG1_HUMAN	Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2	TCERG1	2	5.62	6.22	5.83	6	6.38	6.31	6.24	6.27	0.04	6.062445091	0.4	0.7	0.88	-6.74
Q9Y5S9	RBM8A_HUMAN	RNA-binding protein 8A OS=Homo sapiens OX=9606 GN=RBM8A PE=1 SV=1	RBM8A	3	9.17	8.92	8.87	9.08	9.34	8.79	9.19	9.03	-0.06	9.144089063	-0.4	0.7	0.88	-6.74
P23246	SFPQ_HUMAN	"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2"	SFPQ	27	12.83	12.98	12.62	13.09	12.15	12.28	12.22	12.31	-0.05	12.56275682	-0.39	0.7	0.88	-6.74
